FECHA,INCIDENTE,CANT_INCIDENTES
Apr 1 2015,EMERGENCIA AEREA,1
Apr 1 2015,ENFERMO,3830
Apr 1 2015,EVENTO RESPIRATORIO,3367
Apr 1 2015,EXHIBICIONES Y/O ACTOS OBSCENOS,604
Apr 1 2015,EXPLOSION,98
Apr 1 2015,EXTRAVIADOS / DESAPARECIDOS,1828
Apr 1 2015,FUGA DE GAS NATURAL O PROPANO,1083
Apr 1 2015,FUGA DE PRESOS,103
Apr 1 2015,HABITANTE DE LA CALLE,2276
Apr 1 2015,HALLAZGO DE EXPLOSIVOS,126
Apr 1 2015,HERIDOS,6
Apr 1 2015,HURTO EFECTUADO,3187
Apr 1 2015,INCENDIO CON MATPEL,38
Apr 1 2015,INCENDIO ESTRUCTURAL,1044
Apr 1 2015,INCENDIO FORESTAL,473
Apr 1 2015,INCENDIO VEHICULAR,238
Apr 1 2015,INCIDENTE RESCATE ACUATICO,9
Apr 1 2015,INCONSCIENTE/PARO CARDIORRESPIRATORIO,5184
Apr 1 2015,INDEBIDO USO DE ESTABLECIMIENTO,386
Apr 1 2015,INFORMACION CONFIDENCIAL,658
Apr 1 2015,INTENTO DE SUICIDIO,742
Apr 1 2015,INTENTO/VIOLACION DE DOMICILIO,1127
Apr 1 2015,INTOXICACION,721
Apr 1 2015,INUNDACION,226
Apr 1 2015,INVASION DE TERRENO O EDIFICIO,189
Apr 1 2015,LESIONES PERSONALES,6283
Apr 1 2015,MALTRATO,2441
Apr 1 2015,MALTRATO A MUJER,8233
Apr 1 2015,MANIFESTACION / MOTIN,471
Apr 1 2015,MATPEL,276
Apr 1 2015,MENOR EN ESTABLECIMIENTO MAYORES,118
Apr 1 2015,MENOR O PERSONA ABANDONADA,554
Apr 1 2015,MOVILIDAD / SEÑALIZACION,4343
Apr 1 2015,MUERTE NATURAL,237
Apr 1 2015,MUERTO,128
Apr 1 2015,NARCOTICOS,5532
Apr 1 2015,PANDILLAS JUVENILES,486
Apr 1 2015,PATOLOGIA GINECOBSTETRICA,1088
Apr 1 2015,PERSONA O VEHICULO SOSPECHOSO,11508
Apr 1 2015,PERSONA PIDIENDO AUXILIO,1065
Apr 1 2015,PERSONA TENDIDA EN LA VIA,978
Apr 1 2015,PORTE ILEGAL DE ARMAS,1856
Apr 1 2015,PREVENCION,8
Apr 1 2015,QUEMADURAS,57
Apr 1 2015,QUEMAS PROHIBIDAS,669
Apr 1 2015,RAPTO / SECUESTRO,729
Apr 1 2015,REMISION DINEROS / ACOMPAÑAMIENTO,4371
Apr 1 2015,RESCATES,158
Apr 1 2015,RESCATES MONTAÑA,10
Apr 1 2015,RESTOS HUMANOS,9
Apr 1 2015,RIÑA,39074
Apr 1 2015,SANGRADO VAGINAL,4
Apr 1 2015,SINTOMAS GASTROINTESTINALES,1979
Apr 1 2015,SISMO,1
Apr 1 2015,SOLICITUD APOYO / DESACATO,1522
Apr 1 2015,SUPLANTACION DE PROFESION U OFICIO,407
Apr 1 2015,TRASTORNO MENTAL,2586
Apr 1 2015,VEHICULO ABANDONADO/MAL ESTACIONADO,8245
Apr 1 2015,VEHICULO HURTADO,1018
Apr 1 2015,VEHICULO PELIGROSO,3660
Apr 1 2015,VEHICULO RECUPERADO,85
Apr 1 2015,VENTA O CONSUMO ALCOHOL U OTRO EN MENOR,2608
Apr 1 2015,VERIFICAR SITUACION,15109
Apr 1 2015,VIOLENCIA SEXUAL,431
Apr 1 2016,ABEJAS,251
Apr 1 2016,ABORTO,2
Apr 1 2016,ABRIR DOMICILIO,128
Apr 1 2016,ACCIDENTE CEREBRO VASCULAR,1701
Apr 1 2016,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,24778
Apr 1 2016,ACCIDENTE TRANSITO SIMPLE,27398
Apr 1 2016,ACCION SUBVERSIVA,5
Apr 1 2016,ACTOS CONTRA EL AMBIENTE,2229
Apr 1 2016,ALARMA,2582
Apr 1 2016,ALTERACION DEL ORDEN PUBLICO,23355
Apr 1 2016,AMENAZA DE RUINA,121
Apr 1 2016,ANIMAL ATRAPADO,382
Apr 1 2016,ANIMAL MALTRATADO,2062
Apr 1 2016,ANIMAL PELIGROSO,1092
Apr 1 2016,ATRACO / HURTO EN PROCESO,9955
Apr 1 2016,CAIDA DE ALTURA,1547
Apr 1 2016,CONVULSION,2399
Apr 1 2016,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2616
Apr 1 2016,DAÑOS EN SERVICIOS PUBLICOS,6035
Apr 1 2016,DELINCUENTE CAPTURADO POR CIVIL,2232
Apr 1 2016,DESARME,1
Apr 1 2016,DESLIZAMIENTO,61
Apr 1 2016,DISPAROS,1447
Apr 1 2016,DOLOR TORACICO,1245
Apr 1 2016,ELECTROCUCION / RESCATE,57
Apr 1 2016,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,1285
Apr 1 2016,EMBRIAGUEZ,3862
Apr 1 2016,EMERGENCIA AEREA,2
Apr 1 2016,ENFERMO,3828
Apr 1 2016,EVENTO RESPIRATORIO,3783
Apr 1 2016,EXHIBICIONES Y/O ACTOS OBSCENOS,543
Apr 1 2016,EXPLOSION,140
Apr 1 2016,EXTRAVIADOS / DESAPARECIDOS,2005
Apr 1 2016,FUGA DE GAS NATURAL O PROPANO,1397
Apr 1 2016,FUGA DE PRESOS,109
Apr 1 2016,HABITANTE DE LA CALLE,2400
Apr 1 2016,HALLAZGO DE EXPLOSIVOS,141
Apr 1 2016,HERIDOS,3390
Apr 1 2016,HURTO EFECTUADO,3189
Apr 1 2016,INCENDIO CON MATPEL,39
Apr 1 2016,INCENDIO ESTRUCTURAL,1120
Apr 1 2016,INCENDIO FORESTAL,474
Apr 1 2016,INCENDIO VEHICULAR,200
Apr 1 2016,INCIDENTE RESCATE ACUATICO,40
Apr 1 2016,INCONSCIENTE/PARO CARDIORRESPIRATORIO,6172
Apr 1 2016,INDEBIDO USO DE ESTABLECIMIENTO,540
Apr 1 2016,INFORMACION CONFIDENCIAL,768
Apr 1 2016,INTENTO DE SUICIDIO,1281
Apr 1 2016,INTENTO/VIOLACION DE DOMICILIO,1005
Apr 1 2016,INTOXICACION,1117
Apr 1 2016,INUNDACION,1154
Apr 1 2016,INVASION DE TERRENO O EDIFICIO,349
Apr 1 2016,LESIONES PERSONALES,7487
Apr 1 2016,MALTRATO,2601
Apr 1 2016,MALTRATO A MUJER,9709
Apr 1 2016,MANIFESTACION / MOTIN,303
Apr 1 2016,MATPEL,378
Apr 1 2016,MENOR EN ESTABLECIMIENTO MAYORES,140
Apr 1 2016,MENOR O PERSONA ABANDONADA,486
Apr 1 2016,MOVILIDAD / SEÑALIZACION,6911
Apr 1 2016,MUERTE NATURAL,307
Apr 1 2016,MUERTO,160
Apr 1 2016,NARCOTICOS,5300
Apr 1 2016,PANDILLAS JUVENILES,323
Apr 1 2016,PATOLOGIA GINECOBSTETRICA,1022
Apr 1 2016,PERSONA O VEHICULO SOSPECHOSO,10712
Apr 1 2016,PERSONA PIDIENDO AUXILIO,1300
Apr 1 2016,PERSONA TENDIDA EN LA VIA,1062
Apr 1 2016,PORTE ILEGAL DE ARMAS,2118
Apr 1 2016,PREVENCION,4
Apr 1 2016,QUEMADURAS,111
Apr 1 2016,QUEMAS PROHIBIDAS,836
Apr 1 2016,RAPTO / SECUESTRO,789
Apr 1 2016,REMISION DINEROS / ACOMPAÑAMIENTO,5432
Apr 1 2016,RESCATES,244
Apr 1 2016,RESCATES MONTAÑA,4
Apr 1 2016,RESTOS HUMANOS,15
Apr 1 2016,RIÑA,42291
Apr 1 2016,SANGRADO VAGINAL,94
Apr 1 2016,SINTOMAS GASTROINTESTINALES,2030
Apr 1 2016,SISMO,3
Apr 1 2016,SOLICITUD APOYO / DESACATO,1398
Apr 1 2016,SUPLANTACION DE PROFESION U OFICIO,443
Apr 1 2016,TRASTORNO MENTAL,3807
Apr 1 2016,VEHICULO ABANDONADO/MAL ESTACIONADO,15156
Apr 1 2016,VEHICULO HURTADO,1173
Apr 1 2016,VEHICULO PELIGROSO,5222
Apr 1 2016,VEHICULO RECUPERADO,103
Apr 1 2016,VENTA O CONSUMO ALCOHOL U OTRO EN MENOR,2777
Apr 1 2016,VERIFICAR SITUACION,15386
Apr 1 2016,VIOLENCIA SEXUAL,446
Apr 1 2017,ABEJAS,495
Apr 1 2017,ABORTO,7
Apr 1 2017,ABRIR DOMICILIO,117
Apr 1 2017,ACCIDENTE CEREBRO VASCULAR,843
Apr 1 2017,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,12533
Apr 1 2017,ACCIDENTE TRANSITO SIMPLE,17731
Apr 1 2017,ACCION SUBVERSIVA,1
Apr 1 2017,ACTOS CONTRA EL AMBIENTE,2466
Apr 1 2017,ALARMA,2527
Apr 1 2017,ALTERACION DEL ORDEN PUBLICO,35649
Apr 1 2017,AMENAZA DE RUINA,66
Apr 1 2017,ANIMAL ATRAPADO,264
Apr 1 2017,ANIMAL MALTRATADO,3887
Apr 1 2017,ANIMAL PELIGROSO,1771
Apr 1 2017,ATRACO / HURTO EN PROCESO,9319
Apr 1 2017,CAIDA DE ALTURA,764
Apr 1 2017,CONVULSION,1688
Apr 1 2017,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2642
Apr 1 2017,DAÑOS EN SERVICIOS PUBLICOS,1735
Apr 1 2017,DELINCUENTE CAPTURADO POR CIVIL,2358
Apr 1 2017,DESARME,1
Apr 1 2017,DESLIZAMIENTO,31
Apr 1 2017,DISPAROS,1195
Apr 1 2017,DOLOR TORACICO,944
Apr 1 2017,ELECTROCUCION / RESCATE,26
Apr 1 2017,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,511
Apr 1 2017,EMBRIAGUEZ,4975
Apr 1 2017,ENFERMO,2626
Apr 1 2017,EVENTO RESPIRATORIO,3000
Apr 1 2017,EXHIBICIONES Y/O ACTOS OBSCENOS,650
Apr 1 2017,EXPLOSION,71
Apr 1 2017,EXTRAVIADOS / DESAPARECIDOS,1616
Apr 1 2017,FUGA DE GAS NATURAL O PROPANO,657
Apr 1 2017,FUGA DE PRESOS,121
Apr 1 2017,HABITANTE DE LA CALLE,3227
Apr 1 2017,HALLAZGO DE EXPLOSIVOS,130
Apr 1 2017,HERIDOS,2757
Apr 1 2017,HURTO EFECTUADO,2976
Apr 1 2017,INCENDIO CON MATPEL,13
Apr 1 2017,INCENDIO ESTRUCTURAL,828
Apr 1 2017,INCENDIO FORESTAL,288
Apr 1 2017,INCENDIO VEHICULAR,141
Apr 1 2017,INCIDENTE RESCATE ACUATICO,17
Apr 1 2017,INCONSCIENTE/PARO CARDIORRESPIRATORIO,4178
Apr 1 2017,INDEBIDO USO DE ESTABLECIMIENTO,281
Apr 1 2017,INFORMACION CONFIDENCIAL,595
Apr 1 2017,INTENTO DE SUICIDIO,780
Apr 1 2017,INTENTO/VIOLACION DE DOMICILIO,1021
Apr 1 2017,INTOXICACION,621
Apr 1 2017,INUNDACION,280
Apr 1 2017,INVASION DE TERRENO O EDIFICIO,251
Apr 1 2017,LESIONES PERSONALES,5913
Apr 1 2017,MALTRATO,1971
Apr 1 2017,MALTRATO A MUJER,12072
Apr 1 2017,MANIFESTACION / MOTIN,164
Apr 1 2017,MATPEL,282
Apr 1 2017,MENOR EN ESTABLECIMIENTO MAYORES,120
Apr 1 2017,MENOR O PERSONA ABANDONADA,561
Apr 1 2017,MOVILIDAD / SEÑALIZACION,3305
Apr 1 2017,MUERTE NATURAL,387
Apr 1 2017,MUERTO,172
Apr 1 2017,NARCOTICOS,6942
Apr 1 2017,PANDILLAS JUVENILES,153
Apr 1 2017,PATOLOGIA GINECOBSTETRICA,568
Apr 1 2017,PERSONA O VEHICULO SOSPECHOSO,10445
Apr 1 2017,PERSONA PIDIENDO AUXILIO,1110
Apr 1 2017,PERSONA TENDIDA EN LA VIA,765
Apr 1 2017,POLVORA,59
Apr 1 2017,PORTE ILEGAL DE ARMAS,1840
Apr 1 2017,QUEMADURAS,51
Apr 1 2017,QUEMAS PROHIBIDAS,681
Apr 1 2017,RAPTO / SECUESTRO,679
Apr 1 2017,REMISION DINEROS / ACOMPAÑAMIENTO,4269
Apr 1 2017,RESCATES,135
Apr 1 2017,RESCATES MONTAÑA,5
Apr 1 2017,RESTOS HUMANOS,12
Apr 1 2017,RIÑA,42957
Apr 1 2017,SANGRADO VAGINAL,68
Apr 1 2017,SINTOMAS GASTROINTESTINALES,1264
Apr 1 2017,SISMO,3
Apr 1 2017,SOLICITUD APOYO / DESACATO,841
Apr 1 2017,SUPLANTACION DE PROFESION U OFICIO,522
Apr 1 2017,TRASTORNO MENTAL,1983
Apr 1 2017,VEHICULO ABANDONADO/MAL ESTACIONADO,8331
Apr 1 2017,VEHICULO HURTADO,1071
Apr 1 2017,VEHICULO PELIGROSO,3632
Apr 1 2017,VEHICULO RECUPERADO,98
Apr 1 2017,VENTA O CONSUMO ALCOHOL U OTRO EN MENOR,2821
Apr 1 2017,VERIFICAR SITUACION,14022
Apr 1 2017,VIOLENCIA SEXUAL,357
Apr 1 2018,ABEJAS,525
Apr 1 2018,ABORTO,1
Apr 1 2018,ABRIR DOMICILIO,122
Apr 1 2018,ACCIDENTE CEREBRO VASCULAR,804
Apr 1 2018,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,12089
Apr 1 2018,ACCIDENTE TRANSITO SIMPLE,18462
Apr 1 2018,ACTOS CONTRA EL AMBIENTE,2677
Apr 1 2018,ALARMA,3484
Apr 1 2018,ALTERACION DEL ORDEN PUBLICO,26399
Apr 1 2018,AMENAZA DE RUINA,106
Apr 1 2018,ANIMAL ATRAPADO,367
Apr 1 2018,ANIMAL MALTRATADO,2859
Apr 1 2018,ANIMAL PELIGROSO,1292
Apr 1 2018,ATRACO / HURTO EN PROCESO,8602
Apr 1 2018,CAIDA DE ALTURA,697
Apr 1 2018,CONVULSION,1781
Apr 1 2018,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2572
Apr 1 2018,DAÑOS EN SERVICIOS PUBLICOS,2378
Apr 1 2018,DELINCUENTE CAPTURADO POR CIVIL,2722
Apr 1 2018,DESLIZAMIENTO,112
Apr 1 2018,DISPAROS,1066
Apr 1 2018,DOLOR TORACICO,1070
Apr 1 2018,ELECTROCUCION / RESCATE,31
Apr 1 2018,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,1028
Apr 1 2018,EMBRIAGUEZ,4635
Apr 1 2018,EMERGENCIA AEREA,1
Apr 1 2018,ENFERMO,2511
Apr 1 2018,EVENTO RESPIRATORIO,2481
Apr 1 2018,EXHIBICIONES Y/O ACTOS OBSCENOS,457
Apr 1 2018,EXPLOSION,61
Apr 1 2018,EXTRAVIADOS / DESAPARECIDOS,1449
Apr 1 2018,FUGA DE GAS NATURAL O PROPANO,721
Apr 1 2018,FUGA DE PRESOS,154
Apr 1 2018,HABITANTE DE LA CALLE,2426
Apr 1 2018,HALLAZGO DE EXPLOSIVOS,85
Apr 1 2018,HERIDOS,3130
Apr 1 2018,HURTO EFECTUADO,3253
Apr 1 2018,INCENDIO CON MATPEL,27
Apr 1 2018,INCENDIO EN AERONAVE,1
Apr 1 2018,INCENDIO ESTRUCTURAL,799
Apr 1 2018,INCENDIO FORESTAL,129
Apr 1 2018,INCENDIO VEHICULAR,91
Apr 1 2018,INCIDENTE RESCATE ACUATICO,42
Apr 1 2018,INCONSCIENTE/PARO CARDIORRESPIRATORIO,3922
Apr 1 2018,INDEBIDO USO DE ESTABLECIMIENTO,529
Apr 1 2018,INFORMACION CONFIDENCIAL,541
Apr 1 2018,INTENTO DE SUICIDIO,705
Apr 1 2018,INTENTO/VIOLACION DE DOMICILIO,940
Apr 1 2018,INTOXICACION,617
Apr 1 2018,INUNDACION,555
Apr 1 2018,INVASION DE TERRENO O EDIFICIO,164
Apr 1 2018,LESIONES PERSONALES,5420
Apr 1 2018,MALTRATO,1747
Apr 1 2018,MALTRATO A MUJER,10968
Apr 1 2018,MANIFESTACION / MOTIN,250
Apr 1 2018,MATPEL,260
Apr 1 2018,MENOR EN ESTABLECIMIENTO MAYORES,106
Apr 1 2018,MENOR O PERSONA ABANDONADA,548
Apr 1 2018,MOVILIDAD / SEÑALIZACION,4106
Apr 1 2018,MUERTE NATURAL,419
Apr 1 2018,MUERTO,137
Apr 1 2018,NARCOTICOS,7968
Apr 1 2018,PANDILLAS JUVENILES,90
Apr 1 2018,PATOLOGIA GINECOBSTETRICA,586
Apr 1 2018,PERSONA O VEHICULO SOSPECHOSO,9909
Apr 1 2018,PERSONA PIDIENDO AUXILIO,1133
Apr 1 2018,PERSONA TENDIDA EN LA VIA,623
Apr 1 2018,POLVORA,40
Apr 1 2018,PORTE ILEGAL DE ARMAS,1657
Apr 1 2018,QUEMADURAS,47
Apr 1 2018,QUEMAS PROHIBIDAS,541
Apr 1 2018,RAPTO / SECUESTRO,674
Apr 1 2018,REMISION DINEROS / ACOMPAÑAMIENTO,4537
Apr 1 2018,RESCATES,197
Apr 1 2018,RESCATES MONTAÑA,3
Apr 1 2018,RESTOS HUMANOS,14
Apr 1 2018,RIÑA,40057
Apr 1 2018,SANGRADO VAGINAL,48
Apr 1 2018,SINTOMAS GASTROINTESTINALES,1230
Apr 1 2018,SOLICITUD APOYO / DESACATO,1013
Apr 1 2018,SUPLANTACION DE PROFESION U OFICIO,386
Apr 1 2018,TRASTORNO MENTAL,1802
Apr 1 2018,VEHICULO ABANDONADO/MAL ESTACIONADO,8679
Apr 1 2018,VEHICULO HURTADO,1252
Apr 1 2018,VEHICULO PELIGROSO,3119
Apr 1 2018,VEHICULO RECUPERADO,127
Apr 1 2018,VENTA O CONSUMO ALCOHOL U OTRO EN MENOR,1984
Apr 1 2018,VERIFICAR SITUACION,14334
Apr 1 2018,VIOLENCIA SEXUAL,386
Apr 1 2019,ABEJAS,490
Apr 1 2019,ABORTO,3
Apr 1 2019,ABRIR DOMICILIO,149
Apr 1 2019,ACCIDENTE CEREBRO VASCULAR,842
Apr 1 2019,ACCIDENTE TRANSITO CON HERIDOS/MUERTOS,9447
Apr 1 2019,ACCIDENTE TRANSITO SIMPLE,15432
Apr 1 2019,ACCION SUBVERSIVA,5
Apr 1 2019,ACTOS CONTRA EL AMBIENTE,2474
Apr 1 2019,ALARMA,2648
Apr 1 2019,ALTERACION DEL ORDEN PUBLICO,25234
Apr 1 2019,AMENAZA DE RUINA,97
Apr 1 2019,ANIMAL ATRAPADO,266
Apr 1 2019,ANIMAL MALTRATADO,2975
Apr 1 2019,ANIMAL PELIGROSO,1318
Apr 1 2019,ATRACO / HURTO EN PROCESO,8016
Apr 1 2019,CAIDA DE ALTURA,552
Apr 1 2019,CONVULSION,1632
Apr 1 2019,DAÑOS EN PROPIEDAD PUBLICA/PRIVADA,2510
Apr 1 2019,DAÑOS EN SERVICIOS PUBLICOS,1812
Apr 1 2019,DELINCUENTE CAPTURADO POR CIVIL,2637
Apr 1 2019,DESARME,1
Apr 1 2019,DESLIZAMIENTO,91
Apr 1 2019,DISPAROS,906
Apr 1 2019,DOLOR TORACICO,1139
Apr 1 2019,ELECTROCUCION / RESCATE,23
Apr 1 2019,ELEMENTO CAIDO Y/O EN PELIGRO DE CAER.,1141
Apr 1 2019,EMBRIAGUEZ,4474
Apr 1 2019,ENFERMO,2780
Apr 1 2019,EVENTO RESPIRATORIO,2548
Apr 1 2019,EXHIBICIONES Y/O ACTOS OBSCENOS,515
Apr 1 2019,EXPLOSION,31
Apr 1 2019,EXTRAVIADOS / DESAPARECIDOS,1152
Apr 1 2019,FUGA DE GAS NATURAL O PROPANO,758
Apr 1 2019,FUGA DE PRESOS,111
Apr 1 2019,HABITANTE DE LA CALLE,1672
Apr 1 2019,HALLAZGO DE EXPLOSIVOS,94
Apr 1 2019,HERIDOS,3243
Apr 1 2019,HURTO EFECTUADO,3024
Apr 1 2019,INCENDIO CON MATPEL,6
Apr 1 2019,INCENDIO EN AERONAVE,1
Apr 1 2019,INCENDIO ESTRUCTURAL,593
Apr 1 2019,INCENDIO FORESTAL,195
Apr 1 2019,INCENDIO VEHICULAR,167
Apr 1 2019,INCIDENTE RESCATE ACUATICO,34
Apr 1 2019,INCONSCIENTE/PARO CARDIORRESPIRATORIO,3594
Apr 1 2019,INDEBIDO USO DE ESTABLECIMIENTO,268
Apr 1 2019,INFORMACION CONFIDENCIAL,443
Apr 1 2019,INTENTO DE SUICIDIO,914
Apr 1 2019,INTENTO/VIOLACION DE DOMICILIO,825
Apr 1 2019,INTOXICACION,540
Apr 1 2019,INUNDACION,582
Apr 1 2019,INVASION DE TERRENO O EDIFICIO,232
Apr 1 2019,LESIONES PERSONALES,4928
Apr 1 2019,MALTRATO,1894
Apr 1 2019,MALTRATO A MUJER,10122
Apr 1 2019,MANIFESTACION / MOTIN,260
Apr 1 2019,MATPEL,250
Apr 1 2019,MENOR EN ESTABLECIMIENTO MAYORES,93
Apr 1 2019,MENOR O PERSONA ABANDONADA,545
Apr 1 2019,MOVILIDAD / SEÑALIZACION,3549
Apr 1 2019,MUERTE NATURAL,418
Apr 1 2019,MUERTO,135
Apr 1 2019,NARCOTICOS,8211
Apr 1 2019,PANDILLAS JUVENILES,100
Apr 1 2019,PATOLOGIA GINECOBSTETRICA,509
Apr 1 2019,PERSONA O VEHICULO SOSPECHOSO,9274
Apr 1 2019,PERSONA PIDIENDO AUXILIO,997
Apr 1 2019,PERSONA TENDIDA EN LA VIA,643
Apr 1 2019,POLVORA,64
Apr 1 2019,PORTE ILEGAL DE ARMAS,1585
Apr 1 2019,QUEMADURAS,39
Apr 1 2019,QUEMAS PROHIBIDAS,574
Apr 1 2019,RAPTO / SECUESTRO,642
Apr 1 2019,REMISION DINEROS / ACOMPAÑAMIENTO,2996
Apr 1 2019,RESCATES,177
Apr 1 2019,RESCATES MONTAÑA,39
